source,target,r_max_vis_prob,r_max_vis_node,r_max_vis_prob_2,r_max_vis_node_2,r_average_vis_prob,r_median_vis_prob,r_stdev_vis_prob,r_max_vis_prob_rev,r_max_vis_node_rev,r_max_vis_prob_2_rev,r_max_vis_node_2_rev,r_average_vis_prob_rev,r_median_vis_prob_rev,r_stdev_vis_prob_rev,nb_max_vis_prob,nb_max_vis_node,nb_max_vis_prob_2,nb_max_vis_node_2,nb_average_vis_prob,nb_median_vis_prob,nb_stdev_vis_prob,nb_max_vis_prob_rev,nb_max_vis_node_rev,nb_max_vis_prob_2_rev,nb_max_vis_node_2_rev,nb_average_vis_prob_rev,nb_median_vis_prob_rev,nb_stdev_vis_prob_rev,lrv_max_vis_prob,lrv_max_vis_node,lrv_max_vis_prob_2,lrv_max_vis_node_2,lrv_average_vis_prob,lrv_median_vis_prob,lrv_stdev_vis_prob,lrv_max_vis_prob_rev,lrv_max_vis_node_rev,lrv_max_vis_prob_2_rev,lrv_max_vis_node_2_rev,lrv_average_vis_prob_rev,lrv_median_vis_prob_rev,lrv_stdev_vis_prob_rev
ATL,PAO,0.718,HOU,0.561,PIT,0.455,0.449,0.103,0.717,HOU,0.551,PIT,0.441,0.407,0.105,0.717,HOU,0.616,PIT,0.474,0.456,0.1,0.703,HOU,0.601,PIT,0.446,0.414,0.106,0.793,HOU,0.733,PIT,0.562,0.545,0.1,0.76,HOU,0.667,PIT,0.532,0.517,0.101
ATL,SAN,0.779,HOU,0.495,PIT,0.39,0.354,0.128,0.795,HOU,0.48,PIT,0.369,0.331,0.141,0.739,HOU,0.596,PIT,0.447,0.417,0.11,0.762,HOU,0.558,PIT,0.406,0.364,0.127,0.802,HOU,0.723,PIT,0.544,0.529,0.11,0.807,HOU,0.625,PIT,0.505,0.487,0.109
ATL,CMI,0.683,PIT,0.551,HOU,0.38,0.348,0.114,0.715,PIT,0.52,HOU,0.356,0.325,0.129,0.653,PIT,0.627,HOU,0.409,0.368,0.107,0.686,PIT,0.579,HOU,0.374,0.345,0.122,0.742,HOU,0.718,PIT,0.491,0.47,0.116,0.736,PIT,0.675,HOU,0.478,0.453,0.113
ATL,SLC,0.664,HOU,0.584,PIT,0.432,0.422,0.1,0.674,HOU,0.563,PIT,0.411,0.403,0.111,0.665,HOU,0.621,PIT,0.438,0.403,0.101,0.644,HOU,0.615,PIT,0.409,0.382,0.111,0.742,HOU,0.701,PIT,0.501,0.483,0.11,0.709,HOU,0.656,PIT,0.466,0.457,0.114
ATL,HOU,0.34,PIT,0.21,PRI,0.179,0.163,0.059,0.254,PIT,0.156,CPK,0.119,0.105,0.052,0.448,PIT,0.25,PRI,0.232,0.223,0.072,0.356,PIT,0.198,CPK,0.158,0.148,0.069,0.487,PIT,0.293,CPK,0.252,0.23,0.083,0.423,PIT,0.284,CPK,0.213,0.182,0.079
ATL,CPK,0.617,HOU,0.579,PIT,0.353,0.306,0.12,0.645,HOU,0.535,PIT,0.328,0.287,0.124,0.64,HOU,0.63,PIT,0.402,0.36,0.112,0.637,HOU,0.593,PIT,0.365,0.324,0.117,0.704,PIT,0.686,HOU,0.484,0.462,0.1,0.691,HOU,0.664,PIT,0.468,0.436,0.1
ATL,BOU,0.742,HOU,0.516,PIT,0.384,0.347,0.123,0.758,HOU,0.476,PIT,0.348,0.315,0.139,0.691,HOU,0.591,PIT,0.416,0.372,0.107,0.718,HOU,0.548,PIT,0.376,0.342,0.124,0.768,HOU,0.713,PIT,0.509,0.491,0.115,0.793,HOU,0.61,PIT,0.471,0.43,0.12
ATL,PIT,0.334,HOU,0.212,CPK,0.177,0.158,0.051,0.25,HOU,0.146,CPK,0.123,0.108,0.042,0.451,HOU,0.253,CPK,0.237,0.216,0.068,0.354,HOU,0.184,CMI,0.166,0.145,0.06,0.495,HOU,0.288,CPK,0.274,0.259,0.07,0.438,HOU,0.283,CPK,0.246,0.232,0.062
ATL,PRI,0.714,PIT,0.51,HOU,0.363,0.313,0.131,0.71,PIT,0.509,HOU,0.342,0.284,0.136,0.703,PIT,0.591,HOU,0.407,0.366,0.121,0.69,PIT,0.563,HOU,0.37,0.33,0.125,0.732,PIT,0.698,HOU,0.507,0.484,0.1,0.752,PIT,0.633,HOU,0.484,0.453,0.111
ATL,ITH,0.709,PIT,0.513,HOU,0.362,0.305,0.131,0.715,PIT,0.487,HOU,0.334,0.28,0.139,0.702,PIT,0.586,HOU,0.404,0.368,0.12,0.69,PIT,0.552,HOU,0.365,0.325,0.125,0.727,PIT,0.699,HOU,0.513,0.494,0.096,0.748,PIT,0.627,HOU,0.482,0.452,0.108
ATL,LNK,0.656,HOU,0.611,PIT,0.446,0.374,0.119,0.669,HOU,0.626,PIT,0.468,0.408,0.109,0.69,HOU,0.65,PIT,0.489,0.432,0.106,0.687,HOU,0.662,PIT,0.486,0.419,0.107,0.811,HOU,0.763,PIT,0.619,0.597,0.084,0.779,HOU,0.732,PIT,0.591,0.531,0.098
CPK,SEA,0.657,HOU,0.525,SAN,0.41,0.409,0.1,0.615,HOU,0.525,PIT,0.422,0.4,0.087,0.659,HOU,0.51,PIT,0.426,0.429,0.1,0.608,HOU,0.548,PIT,0.43,0.42,0.091,0.665,HOU,0.636,PIT,0.498,0.497,0.09,0.643,HOU,0.61,PIT,0.496,0.501,0.09
CPK,PAO,0.659,HOU,0.511,SAN,0.407,0.392,0.103,0.613,HOU,0.521,SLC,0.422,0.411,0.085,0.639,HOU,0.5,SLC,0.419,0.416,0.096,0.608,HOU,0.543,SLC,0.427,0.419,0.095,0.669,HOU,0.626,PIT,0.496,0.494,0.09,0.641,HOU,0.588,SLC,0.494,0.501,0.09
CPK,SAN,0.752,HOU,0.394,PIT,0.354,0.317,0.125,0.747,HOU,0.426,PIT,0.371,0.341,0.122,0.682,HOU,0.477,PIT,0.404,0.393,0.103,0.689,HOU,0.51,PIT,0.407,0.397,0.106,0.686,HOU,0.621,PIT,0.484,0.479,0.094,0.694,HOU,0.588,PIT,0.487,0.488,0.091
CPK,SLC,0.522,HOU,0.487,ARB,0.358,0.354,0.085,0.535,ARB,0.484,HOU,0.346,0.324,0.106,0.541,HOU,0.487,ARB,0.373,0.374,0.089,0.536,ARB,0.499,HOU,0.356,0.347,0.109,0.601,PIT,0.588,HOU,0.443,0.43,0.093,0.562,ARB,0.561,HOU,0.436,0.42,0.097
CPK,HOU,0.26,PIT,0.222,ITH,0.171,0.158,0.045,0.241,PIT,0.206,PRI,0.145,0.133,0.05,0.416,PIT,0.343,PRI,0.256,0.238,0.075,0.345,PIT,0.298,ITH,0.212,0.2,0.07,0.517,PIT,0.47,ITH,0.338,0.296,0.102,0.423,PIT,0.377,ITH,0.293,0.265,0.072
CPK,PIT,0.427,ITH,0.423,PRI,0.257,0.218,0.094,0.44,PRI,0.44,ITH,0.233,0.189,0.109,0.417,ITH,0.416,PRI,0.274,0.242,0.085,0.447,PRI,0.446,ITH,0.245,0.198,0.106,0.483,ITH,0.478,PRI,0.329,0.284,0.098,0.496,PRI,0.495,ITH,0.319,0.279,0.1
CPK,PRI,0.285,ITH,0.264,PIT,0.168,0.142,0.06,0.283,ITH,0.277,PIT,0.176,0.15,0.058,0.365,PIT,0.362,ITH,0.247,0.216,0.073,0.37,PIT,0.36,ITH,0.247,0.218,0.072,0.463,PIT,0.451,ITH,0.353,0.329,0.069,0.476,PIT,0.445,ITH,0.35,0.329,0.07
