source,target,lrv_tput,shortest,max_flow,longest,lrv_hops,node_conn,lrv_max_vis_prob,lrv_max_vis_node,lrv_mf_eff,lrv_nc_eff,lrv_inflation
KIE,SKO,0.673,7,1,34,31.308,1,1.0,POZ,0.67,-1.0,4.47
KIE,OSL,0.835,4,1,29,25.516,1,1.0,POZ,0.83,-1.0,6.38
KIE,NIC,0.491,9,1,35,35.796,1,1.0,SOF,0.49,-1.0,3.98
NIC,PRA,0.551,7,1,33,20.779,1,1.0,SOF,0.55,-1.0,2.97
NIC,VIE,0.636,6,1,32,17.56,1,1.0,SOF,0.64,-1.0,2.93
NIC,STO,0.34,12,1,34,30.945,1,1.0,SOF,0.34,-1.0,2.58
NIC,RIG,0.406,10,1,35,29.905,1,1.0,SOF,0.41,-1.0,2.99
NIC,PAR,0.548,7,1,33,21.063,1,1.0,SOF,0.55,-1.0,3.01
NIC,ZAG,0.694,5,1,33,14.412,1,1.0,SOF,0.69,-1.0,2.88
NIC,SOF,0.999,3,1,4,3.505,1,1.0,THE,1.0,-1.0,1.17
NIC,TAR,0.415,11,1,34,29.436,1,1.0,SOF,0.41,-1.0,2.68
NIC,POR,0.417,9,1,35,29.391,1,1.0,SOF,0.42,-1.0,3.27
NIC,SIN,0.284,9,1,37,33.309,1,1.0,SOF,0.28,-1.0,3.7
NIC,TIR,0.691,4,1,34,19.423,1,1.0,SOF,0.69,-1.0,4.86
NIC,POZ,0.458,8,1,34,24.515,1,1.0,SOF,0.46,-1.0,3.06
NIC,THE,1.0,2,1,2,2.0,1,1.0,ATH,1.0,-1.0,1.0
NIC,POD,0.451,6,1,34,31.402,1,1.0,ZAG,0.45,-1.0,5.23
NIC,SKO,0.749,4,1,35,21.607,1,1.0,SOF,0.75,-1.0,5.4
NIC,OSL,0.348,11,1,34,31.758,1,1.0,SOF,0.35,-1.0,2.89
