source,target,r_max_vis_prob,r_max_vis_node,r_max_vis_prob_2,r_max_vis_node_2,r_average_vis_prob,r_median_vis_prob,r_stdev_vis_prob,r_max_vis_prob_rev,r_max_vis_node_rev,r_max_vis_prob_2_rev,r_max_vis_node_2_rev,r_average_vis_prob_rev,r_median_vis_prob_rev,r_stdev_vis_prob_rev,nb_max_vis_prob,nb_max_vis_node,nb_max_vis_prob_2,nb_max_vis_node_2,nb_average_vis_prob,nb_median_vis_prob,nb_stdev_vis_prob,nb_max_vis_prob_rev,nb_max_vis_node_rev,nb_max_vis_prob_2_rev,nb_max_vis_node_2_rev,nb_average_vis_prob_rev,nb_median_vis_prob_rev,nb_stdev_vis_prob_rev,lrv_max_vis_prob,lrv_max_vis_node,lrv_max_vis_prob_2,lrv_max_vis_node_2,lrv_average_vis_prob,lrv_median_vis_prob,lrv_stdev_vis_prob,lrv_max_vis_prob_rev,lrv_max_vis_node_rev,lrv_max_vis_prob_2_rev,lrv_max_vis_node_2_rev,lrv_average_vis_prob_rev,lrv_median_vis_prob_rev,lrv_stdev_vis_prob_rev
BEL,LJU,0.767,ZAG,0.373,SOF,0.16,0.125,0.127,0.763,ZAG,0.4,SOF,0.15,0.093,0.134,0.71,ZAG,0.517,SOF,0.225,0.179,0.12,0.681,ZAG,0.575,SOF,0.234,0.188,0.123,0.751,ZAG,0.616,SOF,0.267,0.229,0.127,0.723,ZAG,0.636,MIL,0.321,0.281,0.123
BEL,ZAG,0.238,SOF,0.169,BUD,0.07,0.057,0.045,0.241,SOF,0.171,BUD,0.065,0.048,0.047,0.432,SOF,0.307,BUD,0.135,0.113,0.076,0.428,SOF,0.318,BUD,0.127,0.1,0.076,0.471,SOF,0.326,BUD,0.157,0.14,0.077,0.466,SOF,0.352,BUD,0.158,0.136,0.079
BEL,BER,0.875,MIL,0.752,PRA,0.412,0.427,0.211,0.854,MIL,0.772,PRA,0.397,0.4,0.213,0.79,MIL,0.723,PRA,0.408,0.374,0.173,0.802,MIL,0.728,PRA,0.399,0.374,0.183,0.827,MIL,0.742,PRA,0.436,0.407,0.172,0.798,MIL,0.723,PRA,0.427,0.403,0.163
BEL,HAM,0.864,MIL,0.725,GEN,0.399,0.406,0.208,0.883,MIL,0.746,AMS,0.392,0.39,0.22,0.804,MIL,0.709,PRA,0.395,0.369,0.174,0.823,MIL,0.703,AMS,0.393,0.374,0.184,0.823,MIL,0.705,PRA,0.422,0.409,0.168,0.828,MIL,0.733,AMS,0.419,0.397,0.175
BEL,BUC,0.688,SOF,0.41,BUD,0.154,0.11,0.118,0.712,SOF,0.384,ZAG,0.154,0.109,0.12,0.69,SOF,0.505,BUD,0.216,0.175,0.115,0.712,SOF,0.495,BUD,0.213,0.169,0.119,0.678,SOF,0.591,BUD,0.293,0.269,0.113,0.727,SOF,0.6,BUD,0.3,0.264,0.114
BEL,SOF,0.273,SKO,0.18,ZAG,0.06,0.047,0.05,0.281,SKO,0.154,ZAG,0.049,0.035,0.048,0.365,SKO,0.27,ZAG,0.089,0.072,0.068,0.398,SKO,0.204,ZAG,0.068,0.051,0.065,0.346,SKO,0.307,ZAG,0.11,0.095,0.07,0.38,SKO,0.239,ZAG,0.085,0.072,0.065
BEL,TAR,0.891,MIL,0.848,PRA,0.518,0.554,0.213,0.895,MIL,0.833,PRA,0.529,0.569,0.197,0.792,MIL,0.789,PRA,0.452,0.458,0.184,0.81,MIL,0.788,PRA,0.47,0.46,0.168,0.822,MIL,0.779,POZ,0.478,0.494,0.173,0.802,MIL,0.745,PRA,0.481,0.463,0.165
BEL,LIS,0.955,MIL,0.843,MAR,0.425,0.396,0.224,0.96,MIL,0.858,MAD,0.434,0.405,0.211,0.897,MIL,0.761,MAD,0.396,0.341,0.197,0.906,MIL,0.772,MAD,0.413,0.37,0.188,0.92,MIL,0.776,MAD,0.432,0.399,0.192,0.881,MIL,0.81,MAD,0.423,0.373,0.181
BEL,POR,0.95,MIL,0.828,BIL,0.433,0.418,0.218,0.946,MIL,0.808,BIL,0.438,0.39,0.21,0.883,MIL,0.74,MAR,0.411,0.367,0.187,0.904,MIL,0.741,MAR,0.423,0.373,0.184,0.908,MIL,0.776,MAD,0.435,0.391,0.185,0.856,MIL,0.772,BIL,0.439,0.393,0.174
BEL,COP,0.861,MIL,0.781,PRA,0.426,0.45,0.224,0.91,MIL,0.751,VIE,0.438,0.461,0.227,0.799,MIL,0.72,PRA,0.414,0.391,0.179,0.817,MIL,0.718,PRA,0.41,0.376,0.184,0.824,MIL,0.727,PRA,0.435,0.424,0.177,0.823,MIL,0.694,SOF,0.433,0.419,0.179
BEL,LON,0.91,MIL,0.789,GEN,0.371,0.299,0.212,0.919,MIL,0.794,GEN,0.366,0.267,0.209,0.845,MIL,0.758,PAR,0.379,0.336,0.176,0.844,MIL,0.702,PAR,0.373,0.307,0.175,0.864,MIL,0.752,PAR,0.399,0.344,0.17,0.841,MIL,0.788,PAR,0.405,0.359,0.171
BEL,IST,1.0,SOF,0.404,THE,0.125,0.074,0.16,1.0,SOF,0.379,THE,0.157,0.104,0.155,1.0,SOF,0.464,THE,0.182,0.133,0.151,1.0,SOF,0.417,THE,0.212,0.165,0.148,1.0,SOF,0.509,THE,0.245,0.207,0.147,1.0,SOF,0.503,THE,0.258,0.216,0.145
