graph_id,graph_label,variant,erase_loops,src,tgt,exposure_pct
nsfnet,NSFNet,HS,False,PRI,SLC,53.600000
nsfnet,NSFNet,HS,False,PRI,HOU,46.700000
nsfnet,NSFNet,HS,False,PRI,ATL,54.000000
nsfnet,NSFNet,HS,False,PRI,CPK,0.000000
nsfnet,NSFNet,HS,False,PRI,BOU,54.000000
nsfnet,NSFNet,HS,False,PRI,PIT,0.000000
nsfnet,NSFNet,HS,False,PRI,ITH,34.800000
nsfnet,NSFNet,HS,False,PRI,LNK,62.900000
nsfnet,NSFNet,HS,False,PRI,ARB,0.000000
nsfnet,NSFNet,HS,False,ITH,SEA,64.600000
nsfnet,NSFNet,HS,False,ITH,PAO,61.500000
nsfnet,NSFNet,HS,False,ITH,SAN,66.500000
nsfnet,NSFNet,HS,False,ITH,CMI,68.800000
nsfnet,NSFNet,HS,False,ITH,SLC,53.600000
nsfnet,NSFNet,HS,False,ITH,HOU,49.100000
nsfnet,NSFNet,HS,False,ITH,ATL,55.600000
nsfnet,NSFNet,HS,False,ITH,CPK,0.000000
nsfnet,NSFNet,HS,False,ITH,BOU,57.600000
nsfnet,NSFNet,HS,False,ITH,PIT,0.000000
nsfnet,NSFNet,HS,False,ITH,PRI,34.800000
nsfnet,NSFNet,HS,False,ITH,LNK,66.000000
nsfnet,NSFNet,HS,False,ITH,ARB,0.000000
nsfnet,NSFNet,HS,False,LNK,SEA,57.500000
nsfnet,NSFNet,HS,False,LNK,PAO,55.600000
nsfnet,NSFNet,HS,False,LNK,SAN,56.000000
nsfnet,NSFNet,HS,False,LNK,CMI,0.000000
nsfnet,NSFNet,HS,False,LNK,SLC,56.400000
nsfnet,NSFNet,HS,False,LNK,HOU,57.100000
nsfnet,NSFNet,HS,False,LNK,ATL,55.200000
nsfnet,NSFNet,HS,False,LNK,CPK,58.400000
nsfnet,NSFNet,HS,False,LNK,BOU,0.000000
nsfnet,NSFNet,HS,False,LNK,PIT,60.300000
nsfnet,NSFNet,HS,False,LNK,PRI,60.300000
nsfnet,NSFNet,HS,False,LNK,ITH,60.300000
nsfnet,NSFNet,HS,False,LNK,ARB,55.200000
nsfnet,NSFNet,HS,False,ARB,SEA,58.500000
nsfnet,NSFNet,HS,False,ARB,PAO,53.300000
nsfnet,NSFNet,HS,False,ARB,SAN,63.500000
nsfnet,NSFNet,HS,False,ARB,CMI,64.600000
nsfnet,NSFNet,HS,False,ARB,SLC,0.000000
nsfnet,NSFNet,HS,False,ARB,HOU,40.000000
nsfnet,NSFNet,HS,False,ARB,ATL,52.800000
nsfnet,NSFNet,HS,False,ARB,CPK,37.600000
nsfnet,NSFNet,HS,False,ARB,BOU,51.800000
nsfnet,NSFNet,HS,False,ARB,PIT,38.700000
nsfnet,NSFNet,HS,False,ARB,PRI,0.000000
nsfnet,NSFNet,HS,False,ARB,ITH,0.000000
nsfnet,NSFNet,HS,False,ARB,LNK,60.900000
geant,GÉANT,HS,False,PRA,VIE,0.000000
geant,GÉANT,HS,False,PRA,BRA,59.400000
geant,GÉANT,HS,False,PRA,HEL,68.900000
geant,GÉANT,HS,False,PRA,STO,75.100000
geant,GÉANT,HS,False,PRA,KAU,73.000000
geant,GÉANT,HS,False,PRA,RIG,73.000000
geant,GÉANT,HS,False,PRA,GEN,50.600000
geant,GÉANT,HS,False,PRA,MAR,54.500000
geant,GÉANT,HS,False,PRA,BIL,71.800000
geant,GÉANT,HS,False,PRA,PAR,45.400000
geant,GÉANT,HS,False,PRA,LJU,81.100000
geant,GÉANT,HS,False,PRA,ZAG,76.400000
geant,GÉANT,HS,False,PRA,BER,63.000000
geant,GÉANT,HS,False,PRA,HAM,63.000000
geant,GÉANT,HS,False,PRA,BUC,76.400000
geant,GÉANT,HS,False,PRA,SOF,81.900000
geant,GÉANT,HS,False,PRA,TAR,70.000000
geant,GÉANT,HS,False,PRA,LIS,75.600000
geant,GÉANT,HS,False,PRA,POR,72.300000
geant,GÉANT,HS,False,PRA,COP,63.000000
geant,GÉANT,HS,False,PRA,LON,55.700000
geant,GÉANT,HS,False,PRA,BEL,76.400000
geant,GÉANT,HS,False,PRA,DUB,74.300000
geant,GÉANT,HS,False,PRA,MIL,54.800000
geant,GÉANT,HS,False,PRA,BRU,49.500000
geant,GÉANT,HS,False,PRA,LUX,69.300000
geant,GÉANT,HS,False,PRA,TIR,81.900000
geant,GÉANT,HS,False,PRA,POZ,0.000000
geant,GÉANT,HS,False,PRA,AMS,47.900000
geant,GÉANT,HS,False,PRA,COR,85.500000
geant,GÉANT,HS,False,PRA,FRA,0.000000
geant,GÉANT,HS,False,PRA,MAD,67.500000
geant,GÉANT,HS,False,PRA,BUD,76.400000
geant,GÉANT,HS,False,PRA,SKO,81.900000
geant,GÉANT,HS,False,PRA,OSL,72.200000
geant,GÉANT,HS,False,VIE,PRA,0.000000
geant,GÉANT,HS,False,VIE,BRA,0.000000
geant,GÉANT,HS,False,VIE,HEL,77.100000
geant,GÉANT,HS,False,VIE,STO,77.900000
geant,GÉANT,HS,False,VIE,KAU,77.100000
geant,GÉANT,HS,False,VIE,RIG,78.700000
geant,GÉANT,HS,False,VIE,GEN,61.600000
geant,GÉANT,HS,False,VIE,MAR,63.000000
geant,GÉANT,HS,False,VIE,BIL,69.600000
geant,GÉANT,HS,False,VIE,PAR,62.300000
geant,GÉANT,HS,False,VIE,LJU,74.200000
geant,GÉANT,HS,False,VIE,ZAG,68.100000
geant,GÉANT,HS,False,VIE,BER,74.900000
geant,GÉANT,HS,False,VIE,HAM,66.400000
geant,GÉANT,HS,False,VIE,BUC,68.100000
geant,GÉANT,HS,False,VIE,SOF,76.700000
geant,GÉANT,HS,False,VIE,TAR,77.900000
geant,GÉANT,HS,False,VIE,LIS,76.300000
geant,GÉANT,HS,False,VIE,POR,76.300000
geant,GÉANT,HS,False,VIE,COP,74.900000
geant,GÉANT,HS,False,VIE,LON,64.000000
geant,GÉANT,HS,False,VIE,BEL,68.100000
geant,GÉANT,HS,False,VIE,DUB,75.900000
geant,GÉANT,HS,False,VIE,MIL,0.000000
geant,GÉANT,HS,False,VIE,BRU,64.000000
geant,GÉANT,HS,False,VIE,LUX,71.000000
geant,GÉANT,HS,False,VIE,TIR,76.700000
geant,GÉANT,HS,False,VIE,POZ,74.900000
geant,GÉANT,HS,False,VIE,AMS,61.600000
geant,GÉANT,HS,False,VIE,COR,86.800000
geant,GÉANT,HS,False,VIE,FRA,61.600000
geant,GÉANT,HS,False,VIE,MAD,71.300000
geant,GÉANT,HS,False,VIE,BUD,68.100000
geant,GÉANT,HS,False,VIE,SKO,76.700000
geant,GÉANT,HS,False,VIE,OSL,77.100000
geant,GÉANT,HS,False,BRA,PRA,62.000000
geant,GÉANT,HS,False,BRA,VIE,0.000000
geant,GÉANT,HS,False,BRA,HEL,83.300000
geant,GÉANT,HS,False,BRA,STO,83.700000
geant,GÉANT,HS,False,BRA,KAU,80.600000
geant,GÉANT,HS,False,BRA,RIG,84.000000
geant,GÉANT,HS,False,BRA,GEN,73.600000
geant,GÉANT,HS,False,BRA,MAR,75.000000
geant,GÉANT,HS,False,BRA,BIL,77.600000
geant,GÉANT,HS,False,BRA,PAR,74.600000
geant,GÉANT,HS,False,BRA,LJU,60.700000
geant,GÉANT,HS,False,BRA,ZAG,57.400000
geant,GÉANT,HS,False,BRA,BER,80.600000
geant,GÉANT,HS,False,BRA,HAM,76.800000
geant,GÉANT,HS,False,BRA,BUC,60.500000
geant,GÉANT,HS,False,BRA,SOF,62.500000
geant,GÉANT,HS,False,BRA,TAR,83.700000
geant,GÉANT,HS,False,BRA,LIS,82.200000
geant,GÉANT,HS,False,BRA,POR,82.200000
geant,GÉANT,HS,False,BRA,COP,80.600000
geant,GÉANT,HS,False,BRA,LON,75.600000
geant,GÉANT,HS,False,BRA,BEL,52.700000
geant,GÉANT,HS,False,BRA,DUB,81.900000
geant,GÉANT,HS,False,BRA,MIL,51.300000
geant,GÉANT,HS,False,BRA,BRU,75.600000
geant,GÉANT,HS,False,BRA,LUX,76.400000
geant,GÉANT,HS,False,BRA,TIR,62.500000
geant,GÉANT,HS,False,BRA,POZ,73.600000
geant,GÉANT,HS,False,BRA,AMS,73.600000
geant,GÉANT,HS,False,BRA,COR,88.800000
geant,GÉANT,HS,False,BRA,FRA,73.600000
geant,GÉANT,HS,False,BRA,MAD,79.500000
geant,GÉANT,HS,False,BRA,BUD,0.000000
geant,GÉANT,HS,False,BRA,SKO,68.800000
geant,GÉANT,HS,False,BRA,OSL,83.300000
geant,GÉANT,HS,False,HEL,PRA,71.900000
geant,GÉANT,HS,False,HEL,VIE,74.700000
geant,GÉANT,HS,False,HEL,BRA,79.300000
geant,GÉANT,HS,False,HEL,STO,0.000000
geant,GÉANT,HS,False,HEL,KAU,64.800000
