source,target,r_min_hops,r_max_hops,r_mean_hops,r_q1_hops,r_q2_hops,r_q3_hops,r_min_hops_rev,r_max_hops_rev,r_mean_hops_rev,r_q1_hops_rev,r_q2_hops_rev,r_q3_hops_rev,nb_min_hops,nb_max_hops,nb_mean_hops,nb_q1_hops,nb_q2_hops,nb_q3_hops,nb_min_hops_rev,nb_max_hops_rev,nb_mean_hops_rev,nb_q1_hops_rev,nb_q2_hops_rev,nb_q3_hops_rev,lrv_min_hops,lrv_max_hops,lrv_mean_hops,lrv_q1_hops,lrv_q2_hops,lrv_q3_hops,lrv_min_hops_rev,lrv_max_hops_rev,lrv_mean_hops_rev,lrv_q1_hops_rev,lrv_q2_hops_rev,lrv_q3_hops_rev
LNK,SEA,2,144,10.303,2,5,13,2,90,9.046,2,4,12,2,60,7.3,2,5,10,2,55,6.673,2,4,9,2,17,6.913,2,7,10,2,17,6.999,2,7,10
LNK,PAO,3,91,11.043,3,6,15,3,109,10.219,3,6,13,3,54,7.752,3,5,10,3,69,7.032,3,4,9,3,17,7.324,3,7,10,3,17,7.287,3,7,10
LNK,SAN,3,106,11.259,4,7,15,3,98,10.347,3,6,14,3,52,7.692,3,5,10,3,67,7.009,3,4,9,3,17,7.437,4,8,10,3,19,7.624,4,8,10
LNK,SLC,2,81,9.937,2,6,14,2,78,8.445,2,5,12,2,47,7.093,2,5,9,2,43,5.883,2,5,8,2,19,6.377,2,6,9,2,18,6.594,2,6,9
LNK,PIT,2,92,8.933,2,6,12,2,66,7.007,2,4,9,2,43,6.182,2,5,8,2,34,5.237,2,5,7,2,12,6.054,4,6,8,2,12,5.963,2,6,8
LNK,PRI,3,65,11.138,5,8,14,3,77,10.512,5,8,14,3,53,7.922,4,6,10,3,47,7.275,4,6,9,3,16,7.757,5,8,10,3,17,7.621,5,8,10
ARB,SEA,3,47,9.057,4,7,12,3,82,9.25,4,7,12,3,36,6.323,4,5,8,3,37,6.52,4,5,8,3,14,6.863,4,7,9,3,14,6.893,4,7,9
ARB,PAO,2,57,7.595,2,5,10,2,56,7.949,2,6,11,2,35,5.95,2,6,8,2,43,6.055,2,6,8,2,15,6.645,5,7,9,2,15,6.549,5,7,9
ARB,SAN,3,55,8.81,4,7,11,3,53,9.276,4,7,12,3,29,6.346,4,5,8,3,40,6.575,4,5,8,3,15,6.798,4,7,9,3,15,6.857,4,7,9
ARB,CMI,3,57,8.915,4,7,11,3,64,8.673,4,7,11,3,32,6.171,4,5,7,3,32,6.241,4,5,8,3,14,6.49,4,6,8,3,14,6.327,4,6,8
ARB,SLC,1,89,4.921,1,1,6,1,70,4.646,1,1,6,1,47,4.861,1,1,7,1,43,4.723,1,1,7,1,17,5.571,1,6,9,1,14,5.244,1,6,9
ARB,HOU,3,50,7.539,3,5,9,3,49,6.717,3,5,8,3,30,5.355,3,4,7,3,26,4.902,3,4,6,3,15,5.623,3,5,7,3,15,5.451,3,5,7
ARB,ATL,3,77,9.719,4,7,12,3,134,10.631,4,7,14,3,51,6.785,3,5,9,3,60,7.653,4,6,10,3,18,7.023,4,6,10,3,17,7.199,4,6,9
ARB,CPK,2,71,6.978,2,2,8,2,85,6.99,2,2,8,2,50,5.347,2,2,7,2,53,5.47,2,2,7,2,18,5.796,2,4,9,2,18,5.909,2,4,9
ARB,BOU,2,59,7.81,2,5,11,2,73,7.784,2,5,11,2,37,5.891,2,5,8,2,38,6.002,2,5,8,2,13,6.282,4,6,9,2,13,6.137,4,6,8
ARB,PIT,2,73,6.408,2,4,8,2,60,5.639,2,2,7,2,43,5.004,2,4,6,2,34,4.542,2,4,5,2,15,4.967,2,4,6,2,15,4.956,2,4,7
ARB,PRI,1,91,5.158,1,1,5,1,104,5.279,1,1,5,1,56,4.836,1,3,6,1,66,5.049,1,3,6,1,20,5.317,1,3,9,1,20,5.502,1,3,9
ARB,ITH,1,102,5.102,1,1,5,1,92,5.441,1,1,5,1,58,4.823,1,3,6,1,62,5.011,1,3,6,1,20,5.296,1,3,9,1,20,5.487,1,3,9
ARB,LNK,3,79,10.316,4,8,14,3,86,11.36,5,9,15,3,39,7.03,4,6,9,3,47,7.862,4,6,10,3,16,7.344,5,7,10,3,15,7.381,5,7,10
